Travel,2025-04-01,2000.0
Travel,2025-05-01,2500.0
Travel,2025-06-01,3000.0
Travel,2025-07-01,3500.0
Travel,2025-08-01,4000.0
Entertainment,2025-04-01,250.0
Entertainment,2025-05-01,300.0
Entertainment,2025-06-01,350.0
Entertainment,2025-07-01,400.0
Entertainment,2025-08-01,450.0
Clothing,2025-04-01,150.00
Clothing,2025-05-01,180.0
Clothing,2025-06-01,200.0
Clothing,2025-07-01,220.0
Clothing,2025-08-01,250.0
Education,2025-04-01,500.0
Education,2025-05-01,550.0
Education,2025-06-01,600.0
Education,2025-07-01,650.0
Education,2025-08-01,700.0
Transportation,2025-04-01,200.0
Transportation,2025-05-01,250.0
Transportation,2025-06-01,300.0
Transportation,2025-07-01,350.0
Transportation,2025-08-01,400.0
Medical,2025-04-01,600.0
Medical,2025-05-01,700.0
Medical,2025-06-01,800.0
Medical,2025-07-01,900.0
Medical,2025-08-01,1000.0
Home,2025-04-01,300.0
Home,2025-05-01,400.0
Home,2025-06-01,450.0
Home,2025-07-01,500.0
Home,2025-08-01,550.0
Food,2024-04-01,300.0
Food,2025-04-01,1000.0
Food,2025-05-01,800.0
Food,2025-06-01,900.0
Food,2025-07-01,1000.0
Food,2025-08-01,1100.0
Sports,2025-04-01,100.0
Sports,2025-05-01,120.0
Sports,2025-06-01,140.0
Sports,2025-07-01,160.0
Sports,2025-08-01,180.0
Communication,2025-04-01,250.0
Communication,2025-05-01,270.0
Communication,2025-06-01,290.0
Communication,2025-07-01,310.0
Communication,2025-08-01,330.0
